Area Name,Postal Code,Latitude,Longitude
Pune          ,411001,18.513021,73.878765
Pune Cantt East      ,411001,18.511841,73.879976
Pune City        ,411002,18.515797,73.856605
Pune New Bazar      ,411001,18.506764,73.879907
Rahu          ,412207,18.571145,74.270537
Rahu Pimpalgaon        ,412214,18.645159,73.92576
Rajegaon          ,413105,18.349245,74.778817
Rajewadi          ,412104,18.388267,74.153356
Rajgurunagar          ,410505,18.855031,73.887499
Rajpur          ,410509,19.09012,73.61241
Rajur          ,410502,19.245617,73.800734
Rajuri          ,412104,18.760431,74.205998
Rajuri          ,412411,18.760431,74.205998
Rakh          ,412305,18.206163,74.214998
Rangaon          ,413114,18.047139,74.807243
Range Hills        ,411020,18.560625,73.838023
Ranjane          ,411025,18.339993,73.695271
Ranjangaon Ganpati        ,412209,18.451633,74.143832
Ranjangaon Sandas        ,412211,18.572374,74.343351
Ranjani          ,410504,19.045696,74.050575
Ranmala          ,412303,18.897146,74.094455
Rase          ,410501,18.735624,73.895003
Rashtra Bhasha Bhavan      ,411030,18.645159,73.92576
Rasta Peth        ,411011,18.516644,73.872355
Ravangaon          ,413130,18.359177,74.627202
Ravet          ,412101,18.643269,73.745056
Raviwar Peth        ,411002,18.51186,73.862417
Rayari          ,412206,18.075739,73.730133
Redni          ,413114,17.984287,74.909192
Retwadi          ,410505,18.819695,73.923134
Rihe          ,412115,18.577028,73.640855
Rohokadi          ,412409,19.299849,73.994462
Roti          ,412219,18.392808,74.48187
R P T S Khandala  ,410302,18.77024,73.372343
Rule          ,412107,18.3826,73.657328
Rupeenagar          ,411062,18.672968,73.779483
Saburdi          ,412404,18.930962,73.765437
Sachapir Street        ,411001,18.513638,73.876726
Sadalgaon          ,412211,18.536667,74.348056
Sadashiv Peth        ,411030,18.506685,73.845731
Sadumbre          ,412109,18.645159,73.92576
Sahajpurwadi          ,412202,18.503448,74.185647
Sakhar          ,412213,18.277301,73.724984
Sakore          ,410515,19.03609,73.917612
Sakori Tarfe Belha      ,412410,19.100621,74.182712
Sakurde          ,412303,18.274465,74.119592
Sal          ,412408,19.033173,73.811581
Salisbury Park        ,411037,18.493934,73.872931
Salumbre          ,412101,18.667192,73.693225
Sanaswadi          ,412208,18.66,74.109444
Sandbhorwadi          ,410505,18.878178,73.889248
Sangamner          ,412206,18.187688,73.873658
Sangavi          ,411027,18.055609,74.4848
Sangavi          ,412206,18.055609,74.4848
Sangrun          ,412115,18.400038,73.679139
Sangvi          ,413102,18.059599,74.482795
Sansar          ,413104,18.112944,74.702248
Sapkalwadi          ,413104,18.094451,74.687613
Sarati          ,413103,17.922644,75.002277
Sarole          ,412205,18.177169,73.958395
Sasanenagar          ,411028,18.491955,73.934513
Saswad          ,412301,18.34196,74.041028
Sate          ,412106,18.743879,73.598426
Saval          ,413133,18.95666,73.482147
Savargaon          ,412401,19.135639,73.901444
Savindane          ,410510,18.877614,74.091315
Saygaon          ,412404,18.922282,73.800316
Shaniwar Peth        ,411030,18.519284,73.852486
Shelgaon          ,413114,18.104388,74.840042
Shere          ,412108,18.53081,73.559229
Shetfalgade          ,413130,18.019796,74.97117
